|time | inM  |  instruction   |reset| outM  |writeM|address| pc  |WPC|DRegister|
| 43+ | 11111|1110001100000101|  0  |      1|   0  |  1000 | 1001| 1 |       1 |
| 44  | 11111|1110001100000101|  0  |      1|   0  |  1000 | 1000| 1 |       1 |
| 44+ | 11111|1110001100000110|  0  |      1|   0  |  1000 | 1000| 0 |       1 |
| 45  | 11111|1110001100000110|  0  |      1|   0  |  1000 | 1001| 0 |       1 |
| 45+ | 11111|1110001100000111|  0  |      1|   0  |  1000 | 1001| 1 |       1 |
| 46  | 11111|1110001100000111|  0  |      1|   0  |  1000 | 1000| 1 |       1 |
| 46+ | 11111|1110001100000111|  1  |      1|   0  |  1000 | 1000| 1 |       1 |
| 47  | 11111|1110001100000111|  1  |      1|   0  |  1000 |    0| 1 |       1 |
| 47+ | 11111|0111111111111111|  0  |      1|   0  |  1000 |    0| 0 |       1 |
| 48  | 11111|0111111111111111|  0  |      1|   0  | 32767 |    1| 0 |       1 |
